row_name,section,is_calculated,standardized_name,company
Cash and cash equivalents,current_assets,False,cash_and_equivalents,BIDU
Restricted cash,current_assets,False,restricted_cash,BIDU
"Short-term investments, net",current_assets,False,short_term_investments,BIDU
"Accounts receivable, net",current_assets,False,accounts_receivable,BIDU
Amounts due from related parties,current_assets,False,due_from_related_parties_current,BIDU
"Other current assets, net",current_assets,False,other_current_assets,BIDU
Total current assets,current_assets,True,total_current_assets,BIDU
"Fixed assets, net",noncurrent_assets,False,property_plant_equipment,BIDU
"Licensed copyrights, net",noncurrent_assets,False,licensed_copyrights,BIDU
"Produced content, net",noncurrent_assets,False,content_assets_net,BIDU
"Intangible assets, net",noncurrent_assets,False,intangibles_net,BIDU
Goodwill,noncurrent_assets,False,goodwill,BIDU
"Long-term investments, net",noncurrent_assets,False,long_term_investments,BIDU
Long-term time deposits and held-to-maturity investments,noncurrent_assets,False,long_term_investments,BIDU
Amounts due from related parties,noncurrent_assets,False,due_from_related_parties_noncurrent,BIDU
"Deferred tax assets, net",noncurrent_assets,False,deferred_tax_assets,BIDU
Operating lease right-of-use assets,noncurrent_assets,False,operating_lease_assets,BIDU
Other non-current assets,noncurrent_assets,False,other_noncurrent_assets,BIDU
Total non-current assets,noncurrent_assets,True,total_noncurrent_assets,BIDU
Total assets,noncurrent_assets,True,total_assets,BIDU
Short-term loans,current_liabilities,False,short_term_debt,BIDU
Accounts payable and accrued liabilities,current_liabilities,False,accounts_payable,BIDU
Customer deposits and deferred revenue,current_liabilities,False,current_deferred_revenue,BIDU
Deferred income,current_liabilities,False,current_deferred_revenue,BIDU
"Long-term loans, current portion",current_liabilities,False,current_portion_long_term_debt,BIDU
"Convertible senior notes, current portion",current_liabilities,False,current_portion_convertible_debt,BIDU
"Notes payable, current portion",current_liabilities,False,current_portion_long_term_debt,BIDU
Amounts due to related parties,current_liabilities,False,short_term_debt_related_party,BIDU
Operating lease liabilities,current_liabilities,False,current_lease_liabilities,BIDU
Total current liabilities,current_liabilities,True,total_current_liabilities,BIDU
Deferred income,noncurrent_liabilities,False,long_term_deferred_revenue,BIDU
Deferred revenue,noncurrent_liabilities,False,long_term_deferred_revenue,BIDU
Amounts due to related parties,noncurrent_liabilities,False,long_term_debt_related_party,BIDU
Long-term loans,noncurrent_liabilities,False,long_term_debt,BIDU
Notes payable,noncurrent_liabilities,False,long_term_debt,BIDU
Convertible senior notes,noncurrent_liabilities,False,convertible_debt,BIDU
Deferred tax liabilities,noncurrent_liabilities,False,deferred_tax_liabilities,BIDU
Operating lease liabilities,noncurrent_liabilities,False,long_term_lease_liabilities,BIDU
Other non-current liabilities,noncurrent_liabilities,False,other_noncurrent_liabilities,BIDU
Total non-current liabilities,noncurrent_liabilities,True,total_noncurrent_liabilities,BIDU
Total liabilities,noncurrent_liabilities,True,total_liabilities,BIDU
Redeemable noncontrolling interests,equity,False,noncontrolling_interests,BIDU
Total Baidu shareholders' equity,equity,False,parent_equity,BIDU
Noncontrolling interests,equity,False,noncontrolling_interests,BIDU
Total equity,equity,True,total_equity,BIDU
"Total liabilities, redeemable noncontrolling interests, and equity",equity,True,total_liabilities_and_equity,BIDU
