row_name,section,is_calculated,standardized_name,company
Cash and cash equivalents,current_assets,False,cash_and_equivalents,KBH
Receivables,current_assets,False,accounts_receivable,KBH
Inventories,current_assets,False,inventory,KBH
Investments in unconsolidated joint ventures,noncurrent_assets,False,equity_method_investments,KBH
"Property and equipment, net",noncurrent_assets,False,property_plant_equipment,KBH
"Deferred tax assets, net",noncurrent_assets,False,deferred_tax_assets,KBH
Other assets,noncurrent_assets,False,other_noncurrent_assets,KBH
Financial services (Assets),current_assets,False,financial_services_assets,KBH
Total assets,noncurrent_assets,True,total_assets,KBH
Accounts payable,current_liabilities,False,accounts_payable,KBH
Accrued expenses and other liabilities,current_liabilities,False,accrued_liabilities,KBH
Notes payable,noncurrent_liabilities,False,long_term_debt,KBH
Financial services (Liabilities),current_liabilities,False,financial_services_liabilities,KBH
Stockholders' equity,stockholders_equity,True,total_equity,KBH
Total liabilities and stockholders' equity,stockholders_equity,True,total_liabilities_and_equity,KBH
