row_name,section,is_calculated,standardized_name,company
Assets:,assets,False,assets_header,MMM
Current assets:,current_assets,False,current_assets_header,MMM
Cash and cash equivalents,current_assets,False,cash_and_equivalents,MMM
Marketable securities - current,current_assets,False,short_term_investments,MMM
Accounts receivable - net,current_assets,False,accounts_receivable,MMM
Inventories,current_assets,False,inventory,MMM
Prepaids,current_assets,False,prepaid_expenses,MMM
Assets held for sale,current_assets,False,assets_held_for_sale,MMM
Other current assets,current_assets,False,other_current_assets,MMM
Total current assets,current_assets,True,total_current_assets,MMM
"Property, plant and equipment - net",noncurrent_assets,False,property_plant_equipment,MMM
Operating lease right of use assets,noncurrent_assets,False,operating_lease_assets,MMM
Goodwill and intangible assets - net,noncurrent_assets,False,goodwill,MMM
Other assets,noncurrent_assets,False,other_noncurrent_assets,MMM
Total assets,noncurrent_assets,True,total_assets,MMM
Liabilities and equity:,liabilities,False,liabilities_equity_header,MMM
Current liabilities:,current_liabilities,False,current_liabilities_header,MMM
Short-term borrowings and current portion of long-term debt,current_liabilities,False,current_portion_long_term_debt,MMM
Accounts payable,current_liabilities,False,accounts_payable,MMM
Accrued payroll,current_liabilities,False,accrued_compensation,MMM
Accrued income taxes,current_liabilities,False,current_income_taxes_payable,MMM
Operating lease liabilities - current,current_liabilities,False,current_lease_liabilities,MMM
Liabilities held for sale,current_liabilities,False,liabilities_held_for_sale,MMM
Other current liabilities,current_liabilities,False,other_current_liabilities,MMM
Total current liabilities,current_liabilities,True,total_current_liabilities,MMM
Long-term debt,noncurrent_liabilities,False,long_term_debt,MMM
Other liabilities,noncurrent_liabilities,False,other_noncurrent_liabilities,MMM
Total liabilities,noncurrent_liabilities,True,total_liabilities,MMM
Total equity,equity,True,total_equity,MMM
Total liabilities and equity,equity,True,total_liabilities_and_equity,MMM
