row_name,section,is_calculated,standardized_name,company
Cash and cash equivalents,current_assets,False,cash_and_equivalents,TGT
Inventory,current_assets,False,inventory,TGT
Other current assets,current_assets,False,other_current_assets,TGT
Total current assets,current_assets,True,total_current_assets,TGT
Land,noncurrent_assets,False,land,TGT
Buildings and improvements,noncurrent_assets,False,buildings_and_improvements,TGT
Fixtures and equipment,noncurrent_assets,False,fixtures_and_equipment,TGT
Computer hardware and software,noncurrent_assets,False,computer_hardware_and_software,TGT
Construction-in-progress,noncurrent_assets,False,construction_in_progress,TGT
Accumulated depreciation,noncurrent_assets,False,accumulated_depreciation,TGT
"Property and equipment, net",noncurrent_assets,True,property_plant_equipment_net,TGT
Operating lease assets,noncurrent_assets,False,operating_lease_assets,TGT
Other noncurrent assets,noncurrent_assets,False,other_noncurrent_assets,TGT
Total assets,noncurrent_assets,True,total_assets,TGT
Accounts payable,current_liabilities,False,accounts_payable,TGT
Accrued and other current liabilities,current_liabilities,False,accrued_liabilities,TGT
Current portion of long-term debt and other borrowings,current_liabilities,False,current_portion_long_term_debt,TGT
Total current liabilities,current_liabilities,True,total_current_liabilities,TGT
Long-term debt and other borrowings,noncurrent_liabilities,False,long_term_debt,TGT
Noncurrent operating lease liabilities,noncurrent_liabilities,False,long_term_lease_liabilities,TGT
Deferred income taxes,noncurrent_liabilities,False,deferred_tax_liabilities,TGT
Other noncurrent liabilities,noncurrent_liabilities,False,other_noncurrent_liabilities,TGT
Total noncurrent liabilities,noncurrent_liabilities,True,total_noncurrent_liabilities,TGT
Common stock,equity,False,common_stock,TGT
Additional paid-in capital,equity,False,additional_paid_in_capital,TGT
Retained earnings,equity,False,retained_earnings,TGT
Accumulated other comprehensive loss,equity,False,aoci,TGT
Total shareholders' investment,equity,True,total_equity,TGT
Total liabilities and shareholders' investment,equity,True,total_liabilities_and_equity,TGT
