row_name,section,is_calculated,standardized_name,company
Cash and short-term investments,current_assets,false,cash_and_short_term_investments,UNH
"Accounts receivable, net",current_assets,false,accounts_receivable_net,UNH
Other current assets,current_assets,false,other_current_assets,UNH
Total current assets,current_assets,true,total_current_assets,UNH
Long-term investments,noncurrent_assets,false,long_term_investments,UNH
Other long-term assets,noncurrent_assets,false,other_noncurrent_assets,UNH
Total assets,noncurrent_assets,true,total_assets,UNH
Medical costs payable,current_liabilities,false,medical_costs_payable,UNH
Short-term borrowings and current maturities of long-term debt,current_liabilities,false,current_debt,UNH
Other current liabilities,current_liabilities,false,other_current_liabilities,UNH
Total current liabilities,current_liabilities,true,total_current_liabilities,UNH
"Long-term debt, less current maturities",noncurrent_liabilities,false,long_term_debt,UNH
Other long-term liabilities,noncurrent_liabilities,false,other_noncurrent_liabilities,UNH
Total liabilities,noncurrent_liabilities,true,total_liabilities,UNH
Redeemable noncontrolling interests,stockholders_equity,false,redeemable_noncontrolling_interests,UNH
Equity,stockholders_equity,true,total_equity,UNH
"Total liabilities, redeemable noncontrolling interests and equity",stockholders_equity,true,total_liabilities_and_equity,UNH
