row_name,section,is_calculated,standardized_name,company
Revenue,income_statement,False,revenue,ABNB
Cost of revenue,income_statement,False,cost_of_revenue,ABNB
Operations and support,income_statement,False,cost_of_revenue,ABNB
Product development,income_statement,False,research_and_development_expense,ABNB
Sales and marketing,income_statement,False,sales_and_marketing_expense,ABNB
General and administrative,income_statement,False,general_and_administrative_expense,ABNB
Total costs and expenses,income_statement,True,total_operating_expenses,ABNB
Income from operations,income_statement,True,operating_income,ABNB
Interest income,income_statement,False,interest_income,ABNB
"Other income (expense), net",income_statement,False,other_income_expense_net,ABNB
Income before income taxes,income_statement,True,income_before_taxes,ABNB
Provision for income taxes,income_statement,False,income_tax_provision,ABNB
Net income,income_statement,True,net_income,ABNB
