row_name,section,is_calculated,standardized_name,company
Subscription,income_statement,False,segment_revenue,ADBE_2
Product,income_statement,False,segment_revenue,ADBE_2
Services and other,income_statement,False,segment_revenue,ADBE_2
Total revenue,income_statement,True,total_revenue,ADBE_2
Subscription,income_statement,False,segment_cost_of_revenue,ADBE_2
Product,income_statement,False,segment_cost_of_revenue,ADBE_2
Services and other,income_statement,False,segment_cost_of_revenue,ADBE_2
Total cost of revenue,income_statement,True,total_cost_of_revenue,ADBE_2
Gross profit,income_statement,True,gross_profit,ADBE_2
Research and development,income_statement,False,research_and_development_expense,ADBE_2
Sales and marketing,income_statement,False,sales_and_marketing_expense,ADBE_2
General and administrative,income_statement,False,general_and_administrative_expense,ADBE_2
Acquisition termination fee,income_statement,False,merger_and_acquisition_costs,ADBE_2
Amortization of intangibles,income_statement,False,amortization_acquired,ADBE_2
Total operating expenses,income_statement,True,total_operating_expenses,ADBE_2
Operating income,income_statement,True,operating_income,ADBE_2
Interest expense,income_statement,False,interest_expense,ADBE_2
"Investment gains (losses), net",income_statement,False,investment_income_net,ADBE_2
"Other income (expense), net",income_statement,False,other_income_expense_net,ADBE_2
"Total non-operating income (expense), net",income_statement,True,total_other_income_expense_net,ADBE_2
Income before income taxes,income_statement,True,income_before_taxes,ADBE_2
Provision for income taxes,income_statement,False,income_tax_provision,ADBE_2
Net income,income_statement,True,net_income,ADBE_2
