row_name,section,is_calculated,standardized_name,company
Sales,income_statement,False,revenue,APD
Cost of sales,income_statement,False,cost_of_revenue,APD
Facility exit and asset disposal charges,income_statement,False,restructuring_and_impairment_charges,APD
Selling and administrative,income_statement,False,sales_general_and_administrative_expense,APD
Research and development,income_statement,False,research_and_development_expense,APD
Business optimization and other charges,income_statement,False,restructuring_and_impairment_charges,APD
"Other income (expense), net",income_statement,False,other_operating_income_expense_net,APD
Operating Income (Loss),income_statement,True,operating_income,APD
Equity affiliates' income,income_statement,False,equity_method_income_loss,APD
Interest expense,income_statement,False,interest_expense,APD
Interest income,income_statement,False,interest_income,APD
Income From Continuing Operations Before Taxes,income_statement,True,income_before_taxes,APD
Income tax provision,income_statement,False,income_tax_provision,APD
Income From Continuing Operations,income_statement,True,net_income,APD
