row_name,section,is_calculated,standardized_name,company
Revenues:,income_statement,False,revenue_header,BIDU_2
Online marketing services,income_statement,False,segment_revenue,BIDU_2
Others,income_statement,False,segment_revenue,BIDU_2
Total revenues,income_statement,True,total_revenue,BIDU_2
Costs and expenses:,income_statement,False,costs_and_expenses_header,BIDU_2
Cost of revenues,income_statement,False,cost_of_revenue,BIDU_2
"Selling, general and administrative",income_statement,False,sales_general_and_administrative_expense,BIDU_2
Research and development,income_statement,False,research_and_development_expense,BIDU_2
Total costs and expenses,income_statement,True,total_operating_expenses,BIDU_2
Operating income,income_statement,True,operating_income,BIDU_2
Other income:,income_statement,False,non_operating_header,BIDU_2
Interest income,income_statement,False,interest_income,BIDU_2
Interest expense,income_statement,False,interest_expense,BIDU_2
"Foreign exchange (loss) gain, net",income_statement,False,foreign_exchange_gain_loss_net,BIDU_2
Share of (losses) earnings from equity method investments,income_statement,False,equity_method_income_loss,BIDU_2
"Others, net",income_statement,False,other_income_expense_net,BIDU_2
"Total other income, net",income_statement,True,total_other_income_expense_net,BIDU_2
Income before income taxes,income_statement,True,income_before_taxes,BIDU_2
Income tax expense,income_statement,False,income_tax_provision,BIDU_2
Net income,income_statement,True,net_income,BIDU_2
Net income (loss) attributable to noncontrolling interests,income_statement,False,net_income_noncontrolling,BIDU_2
Net income attributable to Baidu,income_statement,True,net_income_parent,BIDU_2
