row_name,section,is_calculated,standardized_name,company
Net sales,income_statement,False,revenue,CPB
Cost of products sold,income_statement,False,cost_of_revenue,CPB
Marketing and selling expenses,income_statement,False,sales_and_marketing_expense,CPB
Administrative expenses,income_statement,False,general_and_administrative_expense,CPB
Research and development expenses,income_statement,False,research_and_development_expense,CPB
Other expenses / (income),income_statement,False,other_operating_income_expense_net,CPB
Restructuring charges,income_statement,False,restructuring_and_impairment_charges,CPB
Total costs and expenses,income_statement,True,total_operating_expenses,CPB
Earnings before interest and taxes,income_statement,True,ebit,CPB
Interest expense,income_statement,False,interest_expense,CPB
Interest income,income_statement,False,interest_income,CPB
Earnings before taxes,income_statement,True,income_before_taxes,CPB
Taxes on earnings,income_statement,False,income_tax_provision,CPB
Net earnings,income_statement,True,net_income,CPB
Less: Net earnings (loss) attributable to noncontrolling interests,income_statement,False,net_income_noncontrolling,CPB
Net earnings attributable to The Campbell's Company,income_statement,True,net_income_parent,CPB
