row_name,section,is_calculated,standardized_name,company
Revenues:,income_statement,False,revenue_header,CSCO
Gross sales,income_statement,False,gross_revenue,CSCO
Sales returns and damaged goods,income_statement,False,revenue_adjustments,CSCO
Volume-based rebates and discounts,income_statement,False,sales_discounts,CSCO
Total net sales,income_statement,True,total_revenue,CSCO
Cost of Goods Sold:,income_statement,False,cost_of_revenue_header,CSCO
Inventory purchase costs,income_statement,False,cost_of_revenue,CSCO
Inbound freight and duty,income_statement,False,cost_of_revenue,CSCO
Total cost of goods sold,income_statement,True,total_cost_of_revenue,CSCO
Gross profit,income_statement,True,gross_profit,CSCO
Operating Expenses:,income_statement,False,operating_expenses_header,CSCO
Selling and marketing,income_statement,False,sales_and_marketing_expense,CSCO
General and administrative,income_statement,False,general_and_administrative_expense,CSCO
Total operating expenses,income_statement,True,total_operating_expenses,CSCO
Operating income,income_statement,True,operating_income,CSCO
Non-Operating Items:,income_statement,False,non_operating_header,CSCO
"Interest and other, net",income_statement,False,interest_expense_net,CSCO
Income before income taxes,income_statement,True,income_before_taxes,CSCO
Income tax expense,income_statement,False,income_tax_provision,CSCO
Net income,income_statement,True,net_income,CSCO
