row_name,section,is_calculated,standardized_name,company
Revenues:,income_statement,False,revenue_header,CSCO_1
Gross sales,income_statement,False,gross_revenue,CSCO_1
Sales returns and damaged goods,income_statement,False,revenue_adjustments,CSCO_1
Volume-based rebates and discounts,income_statement,False,sales_discounts,CSCO_1
Total net sales,income_statement,True,total_revenue,CSCO_1
Cost of Goods Sold:,income_statement,False,cost_of_revenue_header,CSCO_1
Inventory purchase costs,income_statement,False,cost_of_revenue,CSCO_1
Inbound freight and duty,income_statement,False,cost_of_revenue,CSCO_1
Total cost of goods sold,income_statement,True,total_cost_of_revenue,CSCO_1
Gross profit,income_statement,True,gross_profit,CSCO_1
Operating Expenses:,income_statement,False,operating_expenses_header,CSCO_1
Selling and marketing,income_statement,False,sales_and_marketing_expense,CSCO_1
General and administrative,income_statement,False,general_and_administrative_expense,CSCO_1
Total operating expenses,income_statement,True,total_operating_expenses,CSCO_1
Operating income,income_statement,True,operating_income,CSCO_1
Non-Operating Items:,income_statement,False,non_operating_header,CSCO_1
"Interest and other, net",income_statement,False,interest_expense_net,CSCO_1
Income before income taxes,income_statement,True,income_before_taxes,CSCO_1
Income tax expense,income_statement,False,income_tax_provision,CSCO_1
Net income,income_statement,True,net_income,CSCO_1
