row_name,section,is_calculated,standardized_name,company
Net sales,income_statement,False,revenue,EL_1
Cost of sales,income_statement,False,cost_of_revenue,EL_1
Gross profit,income_statement,True,gross_profit,EL_1
Operating expenses:,income_statement,False,operating_expenses_header,EL_1
"Selling, general and administrative",income_statement,False,sales_general_and_administrative_expense,EL_1
Talcum litigation settlement agreements,income_statement,False,litigation_expense,EL_1
Restructuring and other charges,income_statement,False,restructuring_and_impairment_charges,EL_1
Total operating expenses,income_statement,True,total_operating_expenses,EL_1
Operating income (loss),income_statement,True,operating_income,EL_1
Interest expense,income_statement,False,interest_expense,EL_1
"Interest income and investment income, net",income_statement,False,interest_income,EL_1
Other components of net periodic benefit cost,income_statement,False,other_pension_benefit_costs,EL_1
Earnings (loss) before income taxes,income_statement,True,income_before_taxes,EL_1
Provision for income taxes,income_statement,False,income_tax_provision,EL_1
Net earnings (loss),income_statement,True,net_income,EL_1
