row_name,section,is_calculated,standardized_name,company
Net Operating Revenues,income_statement,False,revenue,KO
Cost of goods sold,income_statement,False,cost_of_revenue,KO
Gross Profit,income_statement,True,gross_profit,KO
"Selling, general and administrative expenses",income_statement,False,sales_general_and_administrative_expense,KO
Other operating charges,income_statement,False,other_operating_expense,KO
Operating Income,income_statement,True,operating_income,KO
Interest and other income (loss) - net:,income_statement,False,non_operating_header,KO
Interest income,income_statement,False,interest_income,KO
Interest expense,income_statement,False,interest_expense,KO
Equity income (loss) - net,income_statement,False,equity_method_income_loss,KO
Other income (loss) - net,income_statement,False,other_income_expense_net,KO
Income Before Income Taxes,income_statement,True,income_before_taxes,KO
Income taxes,income_statement,False,income_tax_provision,KO
Consolidated Net Income,income_statement,True,net_income,KO
