row_name,section,is_calculated,standardized_name,company
Net revenues,income_statement,False,revenue_header,LOW
Net product revenues,income_statement,False,segment_revenue,LOW
Net service revenues,income_statement,False,segment_revenue,LOW
Total net revenues,income_statement,True,total_revenue,LOW
Cost of revenues,income_statement,False,cost_of_revenue,LOW
Fulfillment,income_statement,False,fulfillment_expense,LOW
Marketing,income_statement,False,sales_and_marketing_expense,LOW
Research and development,income_statement,False,research_and_development_expense,LOW
General and administrative,income_statement,False,general_and_administrative_expense,LOW
Gain on sale of development properties,income_statement,False,gain_loss_divestitures,LOW
Income from operations,income_statement,True,operating_income,LOW
Share of results of equity investees,income_statement,False,equity_method_income_loss,LOW
Interest expense,income_statement,False,interest_expense,LOW
"Others, net",income_statement,False,other_income_expense_net,LOW
Income before tax,income_statement,True,income_before_taxes,LOW
Income tax expenses,income_statement,False,income_tax_provision,LOW
Net income,income_statement,True,net_income,LOW
