row_name,section,is_calculated,standardized_name,company
Revenues,income_statement,False,revenue,NFLX
Cost of revenues,income_statement,False,cost_of_revenue,NFLX
Sales and marketing,income_statement,False,sales_and_marketing_expense,NFLX
Technology and development,income_statement,False,research_and_development_expense,NFLX
General and administrative,income_statement,False,general_and_administrative_expense,NFLX
Operating income,income_statement,True,operating_income,NFLX
Interest expense,income_statement,False,interest_expense,NFLX
Interest and other income (expense),income_statement,False,other_income_expense_net,NFLX
Income before income taxes,income_statement,True,income_before_taxes,NFLX
Provision for income taxes,income_statement,False,income_tax_provision,NFLX
Net income,income_statement,True,net_income,NFLX
