row_name,section,is_calculated,standardized_name,company
Revenue,income_statement,False,revenue,NVDA
Cost of revenue,income_statement,False,cost_of_revenue,NVDA
Gross profit,income_statement,True,gross_profit,NVDA
Research and development,income_statement,False,research_and_development_expense,NVDA
"Sales, general and administrative",income_statement,False,sales_general_and_administrative_expense,NVDA
Total operating expenses,income_statement,True,total_operating_expenses,NVDA
Operating income,income_statement,True,operating_income,NVDA
Interest income,income_statement,False,interest_income,NVDA
Interest expense,income_statement,False,interest_expense,NVDA
"Other income, net",income_statement,False,other_income_expense_net,NVDA
"Total other income, net",income_statement,True,total_other_income_expense_net,NVDA
Income before income tax,income_statement,True,income_before_taxes,NVDA
Income tax expense,income_statement,False,income_tax_provision,NVDA
Net income,income_statement,True,net_income,NVDA
