row_name,section,is_calculated,standardized_name,company
NET SALES,income_statement,False,revenue,SWK
Cost of sales,income_statement,False,cost_of_revenue,SWK
Gross profit,income_statement,True,gross_profit,SWK
"Selling, general and administrative",income_statement,False,sales_general_and_administrative_expense,SWK
Other - net,income_statement,False,other_operating_income_expense_net,SWK
Loss on sale of business,income_statement,False,gain_loss_divestitures,SWK
Asset impairment charges,income_statement,False,restructuring_and_impairment_charges,SWK
Restructuring charges,income_statement,False,restructuring_and_impairment_charges,SWK
Income from operations,income_statement,True,operating_income,SWK
Interest-net,income_statement,False,interest_expense_net,SWK
EARNINGS FROM CONTINUING OPERATIONS BEFORE INCOME TAXES,income_statement,True,income_before_taxes,SWK
Income taxes on continuing operations,income_statement,False,income_tax_provision,SWK
NET EARNINGS FROM CONTINUING OPERATIONS,income_statement,True,net_income,SWK
