row_name,section,is_calculated,standardized_name,company
Revenue,income_statement,False,revenue,TTD
Platform operations,income_statement,False,cost_of_revenue,TTD
Sales and marketing,income_statement,False,sales_and_marketing_expense,TTD
Technology and development,income_statement,False,research_and_development_expense,TTD
General and administrative,income_statement,False,general_and_administrative_expense,TTD
Total operating expenses,income_statement,True,total_operating_expenses,TTD
Income from operations,income_statement,True,operating_income,TTD
"Total other income, net",income_statement,False,other_income_expense_net,TTD
Income before income taxes,income_statement,True,income_before_taxes,TTD
Provision for income taxes,income_statement,False,income_tax_provision,TTD
Net income,income_statement,True,net_income,TTD
