row_name,section,is_calculated,standardized_name,company
Premiums,income_statement,False,segment_revenue,UNH
Products,income_statement,False,segment_revenue,UNH
Services,income_statement,False,segment_revenue,UNH
Investment and other income,income_statement,False,segment_revenue,UNH
Total revenues,income_statement,True,total_revenue,UNH
Medical costs,income_statement,False,cost_of_revenue,UNH
Operating costs,income_statement,False,operating_expenses,UNH
Cost of products sold,income_statement,False,segment_cost_of_revenue,UNH
Depreciation and amortization,income_statement,False,depreciation_expense,UNH
Total operating costs,income_statement,True,total_operating_expenses,UNH
Earnings from operations,income_statement,True,operating_income,UNH
Interest expense,income_statement,False,interest_expense,UNH
Loss on sale of subsidiary and subsidiaries held for sale,income_statement,False,gain_loss_divestitures,UNH
Earnings before income taxes,income_statement,True,income_before_taxes,UNH
Provision for income taxes,income_statement,False,income_tax_provision,UNH
Net earnings (loss),income_statement,True,net_income,UNH
