row_name,section,is_calculated,standardized_name,company
Premiums,income_statement,False,segment_revenue,UNH_2
Products,income_statement,False,segment_revenue,UNH_2
Services,income_statement,False,segment_revenue,UNH_2
Investment and other income,income_statement,False,segment_revenue,UNH_2
Total revenues,income_statement,True,total_revenue,UNH_2
Medical costs,income_statement,False,cost_of_revenue,UNH_2
Operating costs,income_statement,False,operating_expenses,UNH_2
Cost of products sold,income_statement,False,segment_cost_of_revenue,UNH_2
Depreciation and amortization,income_statement,False,depreciation_expense,UNH_2
Total operating costs,income_statement,True,total_operating_expenses,UNH_2
Earnings from operations,income_statement,True,operating_income,UNH_2
Interest expense,income_statement,False,interest_expense,UNH_2
Loss on sale of subsidiary and subsidiaries held for sale,income_statement,False,gain_loss_divestitures,UNH_2
Earnings before income taxes,income_statement,True,income_before_taxes,UNH_2
Provision for income taxes,income_statement,False,income_tax_provision,UNH_2
Net earnings (loss),income_statement,True,net_income,UNH_2
Earnings attributable to noncontrolling interests,income_statement,False,net_income_noncontrolling,UNH_2
Net earnings attributable to UnitedHealth Group common shareholders,income_statement,True,net_income_parent,UNH_2
