row_name,section,is_calculated,standardized_name,company
Revenue,income_statement,false,revenue,ABNB
Cost of revenue,income_statement,false,cost_of_revenue,ABNB
Operations and support,income_statement,false,operations_and_support_expense,ABNB
Product development,income_statement,false,research_and_development_expense,ABNB
Sales and marketing,income_statement,false,sales_and_marketing_expense,ABNB
General and administrative,income_statement,false,general_and_administrative_expense,ABNB
Total costs and expenses,income_statement,true,total_operating_expenses,ABNB
Income from operations,income_statement,true,operating_income,ABNB
Interest income,income_statement,false,interest_income,ABNB
"Other income (expense), net",income_statement,false,other_non_operating_income_expense_net,ABNB
Income before income taxes,income_statement,true,pretax_income,ABNB
Provision for income taxes,income_statement,false,income_tax_provision,ABNB
Net income,income_statement,true,net_income,ABNB
