row_name,section,is_calculated,standardized_name,company
Revenue:,income_statement,False,revenue_header,ADBE
Subscription,income_statement,False,subscription_revenue,ADBE
Product,income_statement,False,product_revenue,ADBE
Services and other,income_statement,False,services_and_other_revenue,ADBE
Total revenue,income_statement,True,total_revenue,ADBE
Cost of revenue:,income_statement,False,cost_of_revenue_header,ADBE
Subscription,income_statement,False,cost_of_subscription_revenue,ADBE
Product,income_statement,False,cost_of_product_revenue,ADBE
Services and other,income_statement,False,cost_of_services_and_other_revenue,ADBE
Total cost of revenue,income_statement,True,total_cost_of_revenue,ADBE
Gross profit,income_statement,True,gross_profit,ADBE
Operating expenses:,income_statement,False,operating_expenses_header,ADBE
Research and development,income_statement,False,research_and_development_expense,ADBE
Sales and marketing,income_statement,False,sales_and_marketing_expense,ADBE
General and administrative,income_statement,False,general_and_administrative_expense,ADBE
Acquisition termination fee,income_statement,False,acquisition_termination_fee,ADBE
Amortization of intangibles,income_statement,False,amortization_of_intangibles_operating,ADBE
Total operating expenses,income_statement,True,total_operating_expenses,ADBE
Operating income,income_statement,True,operating_income,ADBE
Non-operating income (expense):,income_statement,False,non_operating_header,ADBE
Interest expense,income_statement,False,interest_expense,ADBE
"Investment gains (losses), net",income_statement,False,investment_income_net,ADBE
"Other income (expense), net",income_statement,False,other_income_expense_net,ADBE
"Total non-operating income (expense), net",income_statement,True,total_non_operating_income_expense,ADBE
Income before income taxes,income_statement,True,income_before_taxes,ADBE
Provision for income taxes,income_statement,False,income_tax_provision,ADBE
Net income,income_statement,True,net_income,ADBE
