row_name,section,is_calculated,standardized_name,company
"Revenues, other than interest on funds held for clients and PEO revenues",income_statement,false,segment_revenue,ADP
Interest on funds held for clients,income_statement,false,segment_revenue,ADP
PEO revenues,income_statement,false,segment_revenue,ADP
Total revenues,income_statement,true,total_revenue,ADP
Operating expenses,income_statement,false,operating_expenses,ADP
Research and development,income_statement,false,research_and_development_expense,ADP
Depreciation and amortization,income_statement,false,depreciation_and_amortization,ADP
Total costs of revenues,income_statement,true,total_operating_expenses,ADP
"Selling, general, and administrative expenses",income_statement,false,selling_general_and_administrative_expense,ADP
Interest expense,income_statement,false,interest_expense,ADP
Total expenses,income_statement,true,total_expenses,ADP
"Other income, net",income_statement,false,other_non_operating_income_expense_net,ADP
Earnings before income taxes,income_statement,true,pretax_income,ADP
Provision for income taxes,income_statement,false,income_tax_provision,ADP
Net earnings,income_statement,true,net_income,ADP
