row_name,section,is_calculated,standardized_name,company
Revenues:,income_statement,False,revenue_header,BIDU
Online marketing services,income_statement,False,online_marketing_revenue,BIDU
Others,income_statement,False,other_revenue,BIDU
Total revenues,income_statement,True,total_revenue,BIDU
Costs and expenses:,income_statement,False,costs_and_expenses_header,BIDU
Cost of revenues,income_statement,False,cost_of_revenue,BIDU
"Selling, general and administrative",income_statement,False,selling_general_and_administrative_expense,BIDU
Research and development,income_statement,False,research_and_development_expense,BIDU
Total costs and expenses,income_statement,True,total_operating_expenses,BIDU
Operating income,income_statement,True,operating_income,BIDU
Other income:,income_statement,False,non_operating_header,BIDU
Interest income,income_statement,False,interest_income,BIDU
Interest expense,income_statement,False,interest_expense,BIDU
"Foreign exchange (loss) gain, net",income_statement,False,foreign_exchange_gain_loss_net,BIDU
Share of (losses) earnings from equity method investments,income_statement,False,equity_method_investment_earnings_net,BIDU
"Others, net",income_statement,False,other_non_operating_income_expense_net,BIDU
"Total other income, net",income_statement,True,total_other_income_expense_net,BIDU
Income before income taxes,income_statement,True,income_before_taxes,BIDU
Income tax expense,income_statement,False,income_tax_provision,BIDU
Net income,income_statement,True,net_income,BIDU
