row_name,section,is_calculated,standardized_name,company
Revenues:,income_statement,FALSE,revenue_header,BIDU_1
Online marketing services,income_statement,FALSE,online_marketing_revenue,BIDU_1
Others,income_statement,FALSE,other_revenue,BIDU_1
Total revenues,income_statement,TRUE,total_revenue,BIDU_1
Costs and expenses:,income_statement,FALSE,costs_and_expenses_header,BIDU_1
Cost of revenues,income_statement,FALSE,cost_of_revenue,BIDU_1
"Selling, general and administrative",income_statement,FALSE,selling_general_and_administrative_expense,BIDU_1
Research and development,income_statement,FALSE,research_and_development_expense,BIDU_1
Total costs and expenses,income_statement,TRUE,total_operating_expenses,BIDU_1
Operating income,income_statement,TRUE,operating_income,BIDU_1
Other income:,income_statement,FALSE,non_operating_header,BIDU_1
Interest income,income_statement,FALSE,interest_income,BIDU_1
Interest expense,income_statement,FALSE,interest_expense,BIDU_1
"Foreign exchange (loss) gain, net",income_statement,FALSE,foreign_exchange_gain_loss_net,BIDU_1
Share of (losses) earnings from equity method investments,income_statement,FALSE,equity_method_investment_earnings_net,BIDU_1
"Others, net",income_statement,FALSE,other_non_operating_income_expense_net,BIDU_1
"Total other income, net",income_statement,TRUE,total_other_income_expense_net,BIDU_1
Income before income taxes,income_statement,TRUE,income_before_taxes,BIDU_1
Income tax expense,income_statement,FALSE,income_tax_provision,BIDU_1
Net income,income_statement,TRUE,net_income,BIDU_1
