row_name,section,is_calculated,standardized_name,company
Revenues,income_statement,False,revenue,DIS
Costs and expenses,income_statement,False,operating_expenses,DIS
Restructuring and impairment charges,income_statement,False,restructuring_and_impairment_charges,DIS
Operating Income,income_statement,True,operating_income,DIS
Non-Operating Items:,income_statement,False,non_operating_header,DIS
"Interest expense, net",income_statement,False,interest_expense_net,DIS
Equity in the income of investees,income_statement,False,equity_method_earnings,DIS
Other expense,income_statement,False,other_non_operating_expense,DIS
Income before income taxes,income_statement,True,income_before_taxes,DIS
Income taxes,income_statement,False,income_tax_provision,DIS
Net income,income_statement,True,net_income_consolidated,DIS
