row_name,section,is_calculated,standardized_name,company
Revenues,income_statement,false,revenue,IR
Cost of sales,income_statement,false,cost_of_goods_sold,IR
Gross Profit,income_statement,true,gross_profit,IR
Selling and administrative expenses,income_statement,false,selling_and_administrative_expense,IR
Amortization of intangible assets,income_statement,false,amortization_of_intangibles_opex,IR
Impairment of goodwill,income_statement,false,goodwill_impairment,IR
Impairment of other intangible assets,income_statement,false,intangible_asset_impairment,IR
"Other operating expense, net",income_statement,false,other_operating_expense_net,IR
Operating Income,income_statement,true,operating_income,IR
Interest expense,income_statement,false,interest_expense,IR
Loss on extinguishment of debt,income_statement,false,debt_extinguishment_loss,IR
"Other income, net",income_statement,false,other_non_operating_income_expense_net,IR
Income Before Income Taxes,income_statement,true,pretax_income,IR
Provision for income taxes,income_statement,false,income_tax_provision,IR
Loss on equity method investments,income_statement,false,equity_method_investment_loss,IR
Net Income,income_statement,true,net_income,IR
