row_name,section,is_calculated,standardized_name,company
Revenue,income_statement,false,revenue,NVDA
Cost of revenue,income_statement,false,cost_of_goods_sold,NVDA
Gross profit,income_statement,true,gross_profit,NVDA
Research and development,income_statement,false,research_and_development_expense,NVDA
"Sales, general and administrative",income_statement,false,selling_general_and_administrative_expense,NVDA
Total operating expenses,income_statement,true,total_operating_expenses,NVDA
Operating income,income_statement,true,operating_income,NVDA
Interest income,income_statement,false,interest_income,NVDA
Interest expense,income_statement,false,interest_expense,NVDA
"Other income, net",income_statement,false,other_non_operating_income,NVDA
"Total other income, net",income_statement,true,total_other_income_expense_net,NVDA
Income before income tax,income_statement,true,pretax_income,NVDA
Income tax expense,income_statement,false,income_tax_provision,NVDA
Net income,income_statement,true,net_income,NVDA
