row_name,section,is_calculated,standardized_name,company
Net sales,income_statement,FALSE,revenue,ULTA
Cost of sales,income_statement,FALSE,cost_of_revenue,ULTA
Gross profit,income_statement,TRUE,gross_profit,ULTA
"Selling, general and administrative expenses",income_statement,FALSE,sales_general_and_administrative_expense,ULTA
Pre-opening expenses,income_statement,FALSE,other_operating_expense,ULTA
Operating income,income_statement,TRUE,operating_income,ULTA
"Interest expense (income), net",income_statement,FALSE,interest_expense_net,ULTA
Income before income taxes and equity net loss of affiliate,income_statement,TRUE,income_before_taxes,ULTA
Income tax expense,income_statement,FALSE,income_tax_provision,ULTA
Income before equity net loss of affiliate,income_statement,TRUE,net_income_parent,ULTA
Equity net loss of affiliate,income_statement,FALSE,equity_method_income_loss,ULTA
Net income,income_statement,TRUE,net_income,ULTA
