row_name,section,is_calculated,standardized_name,company
Premiums,income_statement,false,premium_revenue,UNH
Products,income_statement,false,product_revenue,UNH
Services,income_statement,false,service_revenue,UNH
Investment and other income,income_statement,false,segment_revenue,UNH
Total revenues,income_statement,true,total_revenue,UNH
Medical costs,income_statement,false,medical_costs,UNH
Operating costs,income_statement,false,operating_expenses,UNH
Cost of products sold,income_statement,false,cost_of_products_sold,UNH
Depreciation and amortization,income_statement,false,depreciation_and_amortization,UNH
Total operating costs,income_statement,true,total_operating_expenses,UNH
Earnings from operations,income_statement,true,operating_income,UNH
Interest expense,income_statement,false,interest_expense,UNH
Loss on sale of subsidiary and subsidiaries held for sale,income_statement,false,loss_on_sale_of_subsidiaries,UNH
Earnings before income taxes,income_statement,true,pretax_income,UNH
Provision for income taxes,income_statement,false,income_tax_provision,UNH
Net earnings (loss),income_statement,true,net_income,UNH
