standardized_name,frequency,avg_order_fwd,avg_order_rev,is_calculated,is_operating,is_expense
revenue,29,1.0,13.72,False,True,False
gross_revenue,2,2.0,19.0,False,True,False
segment_revenue,78,2.46,17.51,False,True,False
revenue_adjustments,2,3.0,18.0,False,True,True
sales_discounts,2,4.0,17.0,False,True,True
segment_revenue_subtotal,3,4.0,19.33,True,True,False
cost_of_revenue,52,4.27,12.77,False,True,True
total_revenue,32,4.28,15.56,True,True,False
operating_expenses,6,5.33,10.67,False,True,True
gross_profit,26,5.58,12.58,True,True,False
fulfillment_expense,3,5.67,13.0,False,True,True
sales_general_and_administrative_expense,24,5.92,10.33,False,True,True
litigation_expense,5,6.2,10.4,False,False,True
segment_cost_of_revenue,34,6.44,14.21,False,True,True
segment_operating_income,2,6.5,8.5,True,True,False
interest_income_banking,1,7.0,17.0,False,True,False
eliminations,2,7.0,13.0,False,True,True
sales_and_marketing_expense,27,7.3,11.44,False,True,True
research_and_development_expense,31,7.32,10.94,False,True,True
total_cost_of_revenue,14,7.43,13.21,True,True,True
technology_and_infrastructure_expense,2,7.5,13.0,False,True,True
segment_gross_profit,2,7.5,8.5,True,True,False
restructuring_and_impairment_charges,22,7.59,9.64,False,False,True
other_operating_income_expense_net,7,7.86,8.71,False,True,
depreciation_expense,12,7.92,9.58,False,True,True
amortization_internal,1,8.0,14.0,False,True,True
interest_expense_banking,1,8.0,16.0,False,True,True
other_operating_expense,4,8.25,9.0,False,True,True
general_and_administrative_expense,28,8.68,10.07,False,True,True
net_interest_income_banking,1,9.0,15.0,True,True,False
amortization_acquired,16,9.12,10.5,False,False,True
segment_pretax_income,2,9.5,5.5,True,False,False
total_operating_expenses,39,9.97,8.31,True,True,True
gain_loss_divestitures,11,10.27,7.18,False,False,
operating_income,56,10.36,7.3,True,True,False
interest_income,21,10.9,6.62,False,False,False
total_expenses,1,11.0,5.0,True,False,True
interest_expense_net,7,11.29,4.71,False,False,True
equity_method_income_loss,15,11.93,5.0,False,False,
other_pension_benefit_costs,3,12.0,4.67,False,False,True
ip_and_development_income,1,12.0,7.0,False,True,False
interest_expense,42,12.45,6.05,False,False,True
other_income_expense_net,43,13.19,4.7,False,False,
merger_and_acquisition_costs,4,13.5,12.0,False,False,True
debt_extinguishment_gain_loss,2,14.0,5.5,False,False,
foreign_exchange_gain_loss_net,3,14.0,7.67,False,False,
income_before_taxes,60,14.22,3.27,True,False,False
investment_income_net,8,14.38,7.38,False,False,False
discontinued_operations,1,15.0,2.0,False,False,
income_tax_provision,60,15.22,2.27,False,True,True
net_income,60,16.28,1.2,True,False,False
total_other_income_expense_net,16,16.38,4.31,True,False,False
net_income_noncontrolling,5,18.8,2.0,False,False,False
net_income_parent,6,19.17,1.0,True,False,False
